co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
A71.9,7,A71,Tracoma nao especificado,-,-,A719,S,-,-
A74,7,A74,Outras doencas causadas por Clamidias,-,-,A74,S,-,-
A74.0,7,A74,Conjuntivite causada por clamidias (H13.1*),+,-,A740,S,-,-
A74.8,7,A74,Outras doencas causadas por clamidias,-,-,A748,S,-,-
A74.9,7,A74,Infeccao causada por clamidias nao especificada,-,-,A749,S,-,-
A75,8,A75,Tifo exantematico,-,-,A75,S,-,-
A75.0,8,A75,Tifo epidemico transmitido por piolhos devido a Rickettsia prowazekii,-,-,A750,S,-,-
A75.1,8,A75,Tifo recrudescente [doenca de Brill],-,-,A751,S,-,-
A75.2,8,A75,Tifo por Rickettsia typhi,-,-,A752,S,-,-
A75.3,8,A75,Tifo por Rickettsia tsutsugamuchi,-,-,A753,S,-,-
A75.9,8,A75,Tifo nao especificado,-,-,A759,S,-,-
A77,8,A77,Febre maculosa [rickettsioses transmitidas por carrapatos],-,-,A77,S,-,-
A77.0,8,A77,Febre maculosa por Rickettsia richettsii,-,-,A770,S,-,-
A77.1,8,A77,Febre maculosa por Rickettsia conorii,-,-,A771,S,-,-
A77.2,8,A77,Febre maculosa devida a Rickettsia siberica,-,-,A772,S,-,-
A77.3,8,A77,Febre maculosa devida a Rickettsia australis,-,-,A773,S,-,-
A77.8,8,A77,Outras febres maculosas,-,-,A778,S,-,-
A77.9,8,A77,Febre maculosa nao especificada,-,-,A779,S,-,-
A78,8,A78,Febre Q,-,-,A78,S,-,-
A79,8,A79,Outras rickettsioses,-,-,A79,S,-,-
A79.0,8,A79,Febre das trincheiras,-,-,A790,S,-,-
A79.1,8,A79,Rickettsiose variceliforme devida a Rickettsia akari,-,-,A791,S,-,-
A79.8,8,A79,Outros tipos de rickettsioses especificadas,-,-,A798,S,-,-
A79.9,8,A79,Rickettsiose nao especificada,-,-,A799,S,-,-
A80,9,A80,Poliomielite aguda,-,-,A80,S,-,-
A80.0,9,A80,"Poliomielite paralitica aguda, associada ao virus vacinal",-,-,A800,S,-,-
A80.1,9,A80,"Poliomielite paralitica aguda, virus selvagem importado",-,-,A801,S,-,-
A80.2,9,A80,"Poliomielite paralitica aguda, virus selvagem indigena",-,-,A802,S,-,-
A80.3,9,A80,"Poliomielites paraliticas agudas, outras e nao especificadas",-,-,A803,S,-,-
A80.4,9,A80,Poliomielite aguda nao-paralitica,-,-,A804,S,-,-
A80.9,9,A80,Poliomielite aguda nao especificada,-,-,A809,S,-,-
A81,9,A81,Infeccoes por virus atipico do sistema nervoso central,-,-,A81,S,-,-
A81.0,9,A81,Doenca de Creutzfeldt-Jakob,-,-,A810,S,-,-
A81.1,9,A81,Panencefalite esclerosante subaguda,-,-,A811,S,-,-
A81.2,9,A81,Leucoencefalopatia multifocal progressiva,-,-,A812,S,-,-
A81.8,9,A81,Outras infeccoes por virus atipico do sistema nervoso central,-,-,A818,S,-,-
A81.9,9,A81,Infeccao nao especificada do sistema nervosos central por virus atipico,-,-,A819,S,-,-
A82,9,A82,Raiva,-,-,A82,S,-,-
A82.0,9,A82,Raiva silvestre,-,-,A820,S,-,-
A82.1,9,A82,Raiva urbana,-,-,A821,S,-,-
A82.9,9,A82,Raiva nao especificada,-,-,A829,S,-,-
A83,9,A83,Encefalite por virus transmitidos por mosquitos,-,-,A83,S,-,-
A83.0,9,A83,Encefalite japonesa,-,-,A830,S,-,-
A83.1,9,A83,Encefalite equina ocidental,-,-,A831,S,-,-
A83.2,9,A83,Encefalite equina oriental,-,-,A832,S,-,-
A83.3,9,A83,Encefalite de St. Louis,-,-,A833,S,-,-
A83.4,9,A83,Encefalite australiana,-,-,A834,S,-,-
A83.5,9,A83,Encefalite da California,-,-,A835,S,-,-
A83.6,9,A83,Doenca pelo virus de Rocio,-,-,A836,S,-,-
A83.8,9,A83,Outras encefalites por virus transmitidas por mosquitos,-,-,A838,S,-,-
A83.9,9,A83,Encefalite nao especificada por virus transmitida por mosquitos,-,-,A839,S,-,-
A84,9,A84,Encefalite por virus transmitido por carrapatos,-,-,A84,S,-,-
A84.0,9,A84,Encefalite da taiga [encefalite vernoestival russa],-,-,A840,S,-,-
A84.1,9,A84,Encefalite da Europa Central transmitida por carrapatos,-,-,A841,S,-,-
A84.8,9,A84,Outras encefalites por virus transmitidas por carrapatos,-,-,A848,S,-,-
A84.9,9,A84,Encefalite nao especificada por virus transmitida por carrapatos,-,-,A849,S,-,-
A85,9,A85,"Outras encefalites virais, nao classificadas em outra parte",-,-,A85,S,-,-
A85.0,9,A85,Encefalite por enterovirus (G05.1*),+,-,A850,S,-,-
A85.1,9,A85,Encefalite por adenovirus (G05.1*),+,-,A851,S,-,-
A85.2,9,A85,"Encefalite por virus transmitido por artropodes, nao especificada",-,-,A852,S,-,-
A85.8,9,A85,Outras encefalites virais especificadas,-,-,A858,S,-,-
A86,9,A86,"Encefalite viral, nao especificada",-,-,A86,S,-,-
A87,9,A87,Meningite viral,-,-,A87,S,-,-
A87.0,9,A87,Meningite por enterovirus (G02.0*),+,-,A870,S,-,-
A87.1,9,A87,Meningite por adenovirus (G02.0*),+,-,A871,S,-,-
A87.2,9,A87,Coriomeningite linfocitaria,-,-,A872,S,-,-
A87.8,9,A87,Outras meningites virais,-,-,A878,S,-,-
A87.9,9,A87,Meningite viral nao especificada,-,-,A879,S,-,-
A88,9,A88,Outras infeccoes virais do sistema nervoso central nao classificadas em outra parte,-,-,A88,S,-,-
A88.0,9,A88,Febre exantematica por enterovirus [exantema de Boston],-,-,A880,S,-,-
A88.1,9,A88,Vertigem epidemica,-,-,A881,S,-,-
A88.8,9,A88,Outras infeccoes virais especificadas do sistema nervoso central,-,-,A888,S,-,-
A89,9,A89,Infeccoes virais nao especificadas do sistema nervoso central,-,-,A89,S,-,-
A90,10,A90,Dengue [dengue classico],-,-,A90,N,-,-
A91,10,A91,Febre hemorragica devida ao virus do dengue,-,-,A91,N,-,-
A92,10,A92,Outras febres virais transmitidas por mosquitos,-,-,A92,S,-,-
A92.0,10,A92,Febre de Chikungunya,-,-,A920,S,-,-
A92.1,10,A92,Febre de O'nyong-nyong,-,-,A921,S,-,-
A92.2,10,A92,Febre equina venezuelana,-,-,A922,S,-,-
A92.3,10,A92,Febre por virus West Nile,-,-,A923,S,-,-
A92.4,10,A92,Febre do vale do Rift,-,-,A924,S,-,-
A92.5,10,A92,Doenca pelo Zika virus,-,-,A925,S,-,-
A92.8,10,A92,Outras febres virais especificadas transmitidas por mosquitos,-,-,A928,S,-,-
A92.9,10,A92,"Febre viral transmitida por mosquitos, nao especificada",-,-,A929,S,-,-
A93,10,A93,Outras febres por virus transmitidas por artropodes nao classificadas em outra parte,-,-,A93,S,-,-
A93.0,10,A93,Febre de Oropouche,-,-,A930,S,-,-
A93.1,10,A93,Febre por flebotomos,-,-,A931,S,-,-
A93.2,10,A93,Febre do Colorado transmitida por carrapatos,-,-,A932,S,-,-
A93.8,10,A93,Outras febres virais especificadas transmitidas por artropodes,-,-,A938,S,-,-
A94,10,A94,"Febre viral transmitida por artropodes, nao especificada",-,-,A94,S,-,-
A95,10,A95,Febre amarela,-,-,A95,S,-,-
A95.0,10,A95,Febre amarela silvestre,-,-,A950,S,-,-
A95.1,10,A95,Febre amarela urbana,-,-,A951,S,-,-
A95.9,10,A95,Febre amarela nao especificada,-,-,A959,S,-,-
A96,10,A96,Febre hemorragica por arenavirus,-,-,A96,S,-,-
A96.0,10,A96,Febre hemorragica de Junin,-,-,A960,S,-,-
A96.1,10,A96,Febre hemorragica de Machupo,-,-,A961,S,-,-
A96.2,10,A96,Febre de Lassa,-,-,A962,S,-,-
A96.8,10,A96,Outras febres hemorragicas por arenavirus,-,-,A968,S,-,-
A96.9,10,A96,"Febre hemorragica por arenavirus, nao especificada",-,-,A969,S,-,-
A97,10,A97,Dengue,-,-,A97,S,-,-
A97.0,10,A97,Dengue sem sinais de alerta,-,-,A970,S,-,-
A97.1,10,A97,Dengue com sinais de alerta,-,-,A971,S,-,-
A97.2,10,A97,Dengue grave,-,-,A972,S,-,-
A97.9,10,A97,"Dengue, nao especificada",-,-,A979,S,-,-
A98,10,A98,"Outras febres hemorragicas por virus, nao classificadas em outra parte",-,-,A98,S,-,-
A98.0,10,A98,Febre hemorragica da Crimeia (do Congo),-,-,A980,S,-,-
A98.1,10,A98,Febre hemorragica de Omsk,-,-,A981,S,-,-
A98.2,10,A98,Doenca da floresta de Kyasanur,-,-,A982,S,-,-
A98.3,10,A98,Doenca de Marburg,-,-,A983,S,-,-
A98.4,10,A98,Doenca pelo virus Ebola,-,-,A984,S,-,-
A98.5,10,A98,Febre hemorragica com sindrome renal,-,-,A985,S,-,-
A98.8,10,A98,Outras febres hemorragicas especificadas por virus,-,-,A988,S,-,-
A99,10,A99,Febres hemorragicas virais nao especificadas,-,-,A99,S,-,-
B00,11,B00,Infeccoes pelo virus do herpes [herpes simples],-,-,B00,S,-,-
B00.0,11,B00,Eczema herpetico,-,-,B000,S,-,-
B00.1,11,B00,Dermatite vesicular devido ao virus do herpes,-,-,B001,S,-,-
B00.2,11,B00,Gengivoestomatite e faringoamigdalite devida ao virus do herpes,-,-,B002,S,-,-
B00.3,11,B00,Meningite devida ao virus do herpes (G02.0*),+,-,B003,S,-,-
B00.4,11,B00,Encefalite devida ao virus do herpes (G05.1*),+,-,B004,S,-,-
B00.5,11,B00,Afeccoes oculares devidas ao virus do herpes,+,-,B005,S,-,-
B00.7,11,B00,Doenca disseminada devida ao virus do herpes,-,-,B007,S,-,-
B00.8,11,B00,Outras formas de infeccao devida ao virus do herpes,-,-,B008,S,-,-
B00.9,11,B00,Infeccao nao especificada devida ao virus do herpes,-,-,B009,S,-,-
B01,11,B01,Varicela,-,-,B01,S,-,-
B01.0,11,B01,Meningite por varicela (G02.0*),+,-,B010,S,-,-
B01.1,11,B01,Encefalite por varicela (G05.1*),+,-,B011,S,-,-
B01.2,11,B01,Pneumopatia varicelosa (J17.1*),+,-,B012,S,-,-
B01.8,11,B01,Varicela com outras complicacoes,-,-,B018,S,-,-
B01.9,11,B01,Varicela sem complicacao,-,-,B019,S,-,-
B02,11,B02,Herpes zoster [Zona],-,-,B02,S,-,-
B02.0,11,B02,Encefalite pelo virus do herpes zoster (G05.1*),+,-,B020,S,-,-
B02.1,11,B02,Meningite pelo virus do herpes zoster (G02.0*),+,-,B021,S,-,-
B02.2,11,B02,Herpes zoster acompanhado de outras manifestacoes neurologicas,+,-,B022,S,-,-
B02.3,11,B02,Herpes zoster oftalmico,+,-,B023,S,-,-
B02.7,11,B02,Herpes zoster disseminado,-,-,B027,S,-,-
B02.8,11,B02,Herpes zoster com outras complicacoes,-,-,B028,S,-,-
B02.9,11,B02,Herpes zoster sem complicacao,-,-,B029,S,-,-
B03,11,B03,Variola,-,-,B03,S,-,-
B04,11,B04,Variola dos macacos [Monkeypox],-,-,B04,S,-,-
B05,11,B05,Sarampo,-,-,B05,S,-,-
B05.0,11,B05,Sarampo complicado por encefalite (G05.1*),+,-,B050,S,-,-
B05.1,11,B05,Sarampo complicado por meningite (G02.0*),+,-,B051,S,-,-
B05.2,11,B05,Sarampo complicado por pneumonia (J17.1*),+,-,B052,S,-,-
B05.3,11,B05,Sarampo complicado por otite media (H67.1*),+,-,B053,S,-,-
B05.4,11,B05,Sarampo com complicacoes intestinais,-,-,B054,S,-,-
B05.8,11,B05,Sarampo com outras complicacoes,-,-,B058,S,-,-
B05.9,11,B05,Sarampo sem complicacao,-,-,B059,S,-,-
B06,11,B06,Rubeola,-,-,B06,S,-,-
B06.0,11,B06,Rubeola com complicacoes neurologicas,+,-,B060,S,-,-
B06.8,11,B06,Rubeola com outras complicacoes,-,-,B068,S,-,-
B06.9,11,B06,Rubeola sem complicacao,-,-,B069,S,-,-
B07,11,B07,Verrugas de origem viral,-,-,B07,S,-,-
B08,11,B08,"Outras infeccoes virais caracterizadas por lesoes da pele e das membranas mucosas, nao classificadas em outra parte",-,-,B08,S,-,-
B08.0,11,B08,Outras infeccoes por ortopoxvirus,-,-,B080,S,-,-
B08.1,11,B08,Molusco contagioso,-,-,B081,S,-,-
B08.2,11,B08,Exantema subito [sexta doenca],-,-,B082,S,-,-
B08.3,11,B08,Eritema infeccioso [quinta doenca],-,-,B083,S,-,-
B08.4,11,B08,Estomatite vesicular devida a enterovirus com exantema,-,-,B084,S,-,-
B08.5,11,B08,Faringite vesicular devida a enterovirus,-,-,B085,S,-,-
B08.8,11,B08,Outras infeccoes virais especificadas caracterizadas por lesoes de pele e das membranas mucosas,-,-,B088,S,-,-
B09,11,B09,Infeccao viral nao especificada caracterizada por lesoes da pele e membranas mucosas,-,-,B09,S,-,-
B15,12,B15,Hepatite aguda A,-,-,B15,S,-,-
B15.0,12,B15,Hepatite A com coma hepatico,-,-,B150,S,-,-
B15.9,12,B15,Hepatite A sem coma hepatico,-,-,B159,S,-,-
B16,12,B16,Hepatite aguda B,-,-,B16,S,-,-
B16.0,12,B16,"Hepatite aguda B com agente Delta (co-infeccao), com coma hepatico",-,-,B160,S,-,-
B16.1,12,B16,"Hepatite aguda B com agente Delta, (co-infeccao), sem coma hepatico",-,-,B161,S,-,-
B16.2,12,B16,"Hepatite aguda B sem agente Delta, com coma hepatico",-,-,B162,S,-,-
B16.9,12,B16,Hepatite aguda B sem agente Delta e sem coma hepatico,-,-,B169,S,-,-
B17,12,B17,Outras hepatites virais agudas,-,-,B17,S,-,-
B17.0,12,B17,(Super)infeccao aguda Delta na hepatite B cronica,-,-,B170,S,-,-
B17.1,12,B17,Hepatite aguda C,-,-,B171,S,-,-
B17.2,12,B17,Hepatite aguda E,-,-,B172,S,-,-
B17.8,12,B17,Outras hepatites virais agudas especificadas,-,-,B178,S,-,-
B17.9,12,B17,Hepatite viral aguda nao especificada,-,-,B179,S,-,-
B18,12,B18,Hepatite viral cronica,-,-,B18,S,-,-
B18.0,12,B18,Hepatite viral cronica B com agente Delta,-,-,B180,S,-,-
B18.1,12,B18,Hepatite cronica viral B sem agente Delta,-,-,B181,S,-,-
B18.2,12,B18,Hepatite viral cronica C,-,-,B182,S,-,-
B18.8,12,B18,Outras hepatites cronicas virais,-,-,B188,S,-,-
B18.9,12,B18,Hepatite viral cronica nao especificada,-,-,B189,S,-,-
B19,12,B19,Hepatite viral nao especificada,-,-,B19,S,-,-
B19.0,12,B19,"Hepatite viral, nao especificada, com coma",-,-,B190,S,-,-
B19.9,12,B19,"Hepatite viral, nao especificada, sem coma",-,-,B199,S,-,-
B20,13,B20,"Doenca pelo virus da imunodeficiencia humana [HIV], resultando em doencas infecciosas e parasitarias",-,-,B20,S,-,-
B20.0,13,B20,Doenca pelo HIV resultando em infeccoes micobacterianas,-,-,B200,S,-,-
B20.1,13,B20,Doenca pelo HIV resultando em outras infeccoes bacterianas,-,-,B201,S,-,-
B20.2,13,B20,Doenca pelo HIV resultando em doenca citomegalica,-,-,B202,S,-,-
B20.3,13,B20,Doenca pelo HIV resultando em outras infeccoes virais,-,-,B203,S,-,-
B20.4,13,B20,Doenca pelo HIV resultando em candidiase,-,-,B204,S,-,-
B20.5,13,B20,Doenca pelo HIV resultando em outras micoses,-,-,B205,S,-,-
B20.6,13,B20,Doenca pelo HIV resultando em pneumonia por Pneumocystis carinii,-,-,B206,S,-,-
B20.7,13,B20,Doenca pelo HIV resultando em infeccoes multiplas,-,-,B207,S,-,-
B20.8,13,B20,Doenca pelo HIV resultando em outras doencas infecciosas e parasitarias,-,-,B208,S,-,-
B20.9,13,B20,Doenca pelo HIV resultando em doenca infecciosa ou parasitaria nao especificada,-,-,B209,S,-,-
B21,13,B21,"Doenca pelo virus da imunodeficiencia humana [HIV], resultando em neoplasias malignas",-,-,B21,S,-,-
B21.0,13,B21,Doenca pelo HIV resultando em sarcoma de Kaposi,-,-,B210,S,-,-
B21.1,13,B21,Doenca pelo HIV resultando em linfoma de Burkitt,-,-,B211,S,-,-
B21.2,13,B21,Doenca pelo HIV resultando em outros tipos de linfoma nao-Hodgkin,-,-,B212,S,-,-
B21.3,13,B21,"Doenca pelo HIV resultando em outras neoplasias malignas dos tecidos linfatico, hematopoetico e correlatos",-,-,B213,S,-,-
B21.7,13,B21,Doenca pelo HIV resultando em multiplas neoplasias malignas,-,-,B217,S,-,-
B21.8,13,B21,Doenca pelo HIV resultando em outras neoplasias malignas,-,-,B218,S,-,-
B21.9,13,B21,Doenca pelo HIV resultando em neoplasia maligna nao especificada,-,-,B219,S,-,-
B22,13,B22,Doenca pelo virus da imunodeficiencia humana [HIV] resultando em outras doencas especificadas,-,-,B22,S,-,-
B22.0,13,B22,Doenca pelo HIV resultando em encefalopatia,-,-,B220,S,-,-
B22.1,13,B22,Doenca pelo HIV resultando em pneumonite intersticial linfatica,-,-,B221,S,-,-
B22.2,13,B22,Doenca pelo HIV resultando em sindrome de emaciacao,-,-,B222,S,-,-
B22.7,13,B22,Doenca pelo HIV resultando em doencas multiplas classificadas em outra parte,-,-,B227,S,-,-
B23,13,B23,Doenca pelo virus da imunodeficiencia humana [HIV] resultando em outras doencas,-,-,B23,S,-,-
B23.0,13,B23,Sindrome de infeccao aguda pelo HIV,-,-,B230,S,-,-
B23.1,13,B23,Doenca pelo HIV resultando em linfadenopatias generalizadas (persistentes),-,-,B231,S,-,-
B23.2,13,B23,Doenca pelo HIV resultando em anomalias hematologicas e imunologicas nao classificadas em outra parte,-,-,B232,S,-,-
B23.8,13,B23,Doenca pelo HIV resultando em outra afeccoes especificadas,-,-,B238,S,-,-
B24,13,B24,Doenca pelo virus da imunodeficiencia humana [HIV] nao especificada,-,-,B24,S,-,-
B25,14,B25,Doenca por citomegalovirus,-,-,B25,S,-,-
B25.0,14,B25,Pneumonite por citomegalovirus (J17.1*),+,-,B250,S,-,-
B25.1,14,B25,Hepatite por citomegalovirus (K77.0*),+,-,B251,S,-,-
B25.2,14,B25,Pancreatite por citomegalovirus (K87.1*),+,-,B252,S,-,-
B25.8,14,B25,Outras doencas por citomegalovirus,-,-,B258,S,-,-
B25.9,14,B25,Doenca nao especificada por citomegalovirus,-,-,B259,S,-,-
B26,14,B26,Caxumba [Parotidite epidemica],-,-,B26,S,-,-
B26.0,14,B26,Orquite por caxumba [parotidite epidemica] (N51.1*),+,-,B260,S,-,-
B26.1,14,B26,Meningite por caxumba [parotidite epidemica] (G02.0*),+,-,B261,S,-,-
B26.2,14,B26,Encefalite por caxumba [parotidite epidemica] (G05.1*),+,-,B262,S,-,-
B26.3,14,B26,Pancreatite por caxumba [parotidite epidemica] (K87.1*),+,-,B263,S,-,-
B26.8,14,B26,Caxumba [parotidite epidemica] com outras complicacoes,-,-,B268,S,-,-
B26.9,14,B26,Caxumba [parotidite epidemica] sem complicacoes,-,-,B269,S,-,-
B27,14,B27,Mononucleose infecciosa,-,-,B27,S,-,-
B27.0,14,B27,Mononucleose pelo virus herpes gama,-,-,B270,S,-,-
B27.1,14,B27,Mononucleose por citomegalovirus,-,-,B271,S,-,-
B27.8,14,B27,Outras mononucleoses infecciosas,-,-,B278,S,-,-
B27.9,14,B27,Mononucleose infecciosa nao especificada,-,-,B279,S,-,-
B30,14,B30,Conjuntivite viral,-,-,B30,S,-,-
B30.0,14,B30,Ceratoconjuntivite devida a adenovirus (H19.2*),+,-,B300,S,-,-
B30.1,14,B30,Conjuntivite devida a adenovirus (H13.1*),+,-,B301,S,-,-
B30.2,14,B30,Faringoconjuntivite viral,-,-,B302,S,-,-
B30.3,14,B30,Conjuntivite hemorragica aguda endemica (por enterovirus) (H13.1*),+,-,B303,S,-,-
B30.8,14,B30,Outras conjuntivites virais (H13.1*),+,-,B308,S,-,-
B30.9,14,B30,Conjuntivite viral nao especificada,-,-,B309,S,-,-
B33,14,B33,Outras doencas por virus nao classificada em outra parte,-,-,B33,S,-,-
B33.0,14,B33,Mialgia epidemica,-,-,B330,S,-,-
B33.1,14,B33,Doenca de Ross River,-,-,B331,S,-,-
B33.2,14,B33,Cardite viral,-,-,B332,S,-,-
B33.3,14,B33,Infeccao por retrovirus nao classificada em outra parte,-,-,B333,S,-,-
B33.4,14,B33,S韓drome (cardio)-pulmonar por Hantavirus [SPH][SCPH] (referencia J17.1),-,-,B334,S,-,-
B33.8,14,B33,Outras doencas especificadas por virus,-,-,B338,S,-,-
B34,14,B34,"Doencas por virus, de localizacao nao especificada",-,-,B34,S,-,-
B34.0,14,B34,"Infeccao por adenovirus, nao especificada",-,-,B340,S,-,-
B34.1,14,B34,"Infeccao por enterovirus, nao especificada",-,-,B341,S,-,-
B34.2,14,B34,"Infeccao por coronavirus, nao especificada",-,-,B342,S,-,-
B34.3,14,B34,"Infeccao por parvovirus, nao especificada",-,-,B343,S,-,-
B34.4,14,B34,"Infeccao por papovavirus, nao especificada",-,-,B344,S,-,-
B34.8,14,B34,Outras infeccoes por virus de localizacao nao especificada,-,-,B348,S,-,-
B34.9,14,B34,Infeccao viral nao especificada,-,-,B349,S,-,-
B35,15,B35,Dermatofitose,-,-,B35,S,-,-
B35.0,15,B35,Tinha da barba e do couro cabeludo,-,-,B350,S,-,-
B35.1,15,B35,Tinha das unhas,-,-,B351,S,-,-
B35.2,15,B35,Tinha da mao,-,-,B352,S,-,-
B35.3,15,B35,Tinha dos pes,-,-,B353,S,-,-
B35.4,15,B35,Tinha do corpo,-,-,B354,S,-,-
B35.5,15,B35,Tinha imbricada,-,-,B355,S,-,-
B35.6,15,B35,Tinha inguinal [Tinea cruris],-,-,B356,S,-,-
B35.8,15,B35,Outras dermatofitoses,-,-,B358,S,-,-
B35.9,15,B35,Dermatofitose nao especificada,-,-,B359,S,-,-
B36,15,B36,Outras micoses superficiais,-,-,B36,S,-,-
B36.0,15,B36,Pitiriase versicolor,-,-,B360,S,-,-
B36.1,15,B36,Tinha negra,-,-,B361,S,-,-
B36.2,15,B36,Piedra branca,-,-,B362,S,-,-
B36.3,15,B36,Piedra negra,-,-,B363,S,-,-
B36.8,15,B36,Outras micoses superficiais especificadas,-,-,B368,S,-,-
B36.9,15,B36,Micose superficial nao especificada,-,-,B369,S,-,-
B37,15,B37,Candidiase,-,-,B37,S,-,-
B37.0,15,B37,Estomatite por Candida,-,-,B370,S,-,-
B37.1,15,B37,Candidiase pulmonar,-,-,B371,S,-,-
B37.2,15,B37,Candidiase da pele e das unhas,-,-,B372,S,-,-
B37.3,15,B37,Candidiase da vulva e da vagina (N77.1+),+,-,B373,S,-,-
B37.4,15,B37,Candidiase de outras localizacoes urogenitais,+,-,B374,S,-,-
B37.5,15,B37,Meningite por Candida (G02.1*),+,-,B375,S,-,-
B37.6,15,B37,Endocardite por Candida (I39.8*),+,-,B376,S,-,-
B37.7,15,B37,Sepse por Candida,-,-,B377,S,-,-
B37.8,15,B37,Candidiase de outras localizacoes,-,-,B378,S,-,-
B37.9,15,B37,Candidiase nao especificada,-,-,B379,S,-,-
B38,15,B38,Coccidioidomicose,-,-,B38,S,-,-
B38.0,15,B38,Coccidioidomicose pulmonar aguda,-,-,B380,S,-,-
B38.1,15,B38,Coccidioidomicose pulmonar cronica,-,-,B381,S,-,-
B38.2,15,B38,Coccidioidomicose pulmonar nao especificada,-,-,B382,S,-,-
B38.3,15,B38,Coccidioidomicose cutanea,-,-,B383,S,-,-
B38.4,15,B38,Meningite por coccidioidomicose (G02.1*),+,-,B384,S,-,-
B38.7,15,B38,Coccidioidomicose disseminada,-,-,B387,S,-,-
B38.8,15,B38,Outras formas de coccidioidomicose,-,-,B388,S,-,-
B38.9,15,B38,Coccidioidomicose nao especificada,-,-,B389,S,-,-
B39,15,B39,Histoplasmose,-,-,B39,S,-,-
B39.0,15,B39,Histoplasmose pulmonar aguda por Histoplasma capsulatum,-,-,B390,S,-,-
B39.1,15,B39,Histoplasmose pulmonar cronica por Histoplasma capsulatum,-,-,B391,S,-,-
B39.2,15,B39,Histoplasmose pulmonar nao especificada por Histoplasma capsulatum,-,-,B392,S,-,-
B39.3,15,B39,Histoplasmose disseminada por Histoplasma capsulatum,-,-,B393,S,-,-
B39.4,15,B39,Histoplasmose nao especificada por Histoplasma capsulatum,-,-,B394,S,-,-
B39.5,15,B39,Histoplasmose por Histoplasma duboisii,-,-,B395,S,-,-
B39.9,15,B39,Histoplasmose nao especificada,-,-,B399,S,-,-
B40,15,B40,Blastomicose,-,-,B40,S,-,-
B40.0,15,B40,Blastomicose pulmonar aguda,-,-,B400,S,-,-
B40.1,15,B40,Blastomicose pulmonar cronica,-,-,B401,S,-,-
B40.2,15,B40,Blastomicose pulmonar nao especificada,-,-,B402,S,-,-
B40.3,15,B40,Blastomicose cutanea,-,-,B403,S,-,-
B40.7,15,B40,Blastomicose disseminada,-,-,B407,S,-,-
B40.8,15,B40,Outras formas de blastomicose,-,-,B408,S,-,-
B40.9,15,B40,Blastomicose nao especificada,-,-,B409,S,-,-
B41,15,B41,Paracoccidioidomicose,-,-,B41,S,-,-
B41.0,15,B41,Paracoccidioidomicose pulmonar,-,-,B410,S,-,-
B41.7,15,B41,Paracoccidioidomicose disseminada,-,-,B417,S,-,-
B41.8,15,B41,Outras formas de paracoccidioidomicose,-,-,B418,S,-,-
B41.9,15,B41,Paracoccidioidomicose nao especificada,-,-,B419,S,-,-
B42,15,B42,Esporotricose,-,-,B42,S,-,-
B42.0,15,B42,Esporotricose pulmonar (J99.8*),+,-,B420,S,-,-
B42.1,15,B42,Esporotricose linfocutanea,-,-,B421,S,-,-
B42.7,15,B42,Esporotricose disseminada,-,-,B427,S,-,-
B42.8,15,B42,Outras formas de esporotricose,-,-,B428,S,-,-
B42.9,15,B42,Esporotricose nao especificada,-,-,B429,S,-,-
B43,15,B43,Cromomicose e abscesso feomicotico,-,-,B43,S,-,-
B43.0,15,B43,Cromomicose cutanea,-,-,B430,S,-,-
B43.1,15,B43,Abscesso cerebral feomicotico,-,-,B431,S,-,-
B43.2,15,B43,Abscesso e cisto feomicotico subcutaneos,-,-,B432,S,-,-
B43.8,15,B43,Outras formas de cromomicose,-,-,B438,S,-,-
B43.9,15,B43,Cromomicose nao especificada,-,-,B439,S,-,-
B44,15,B44,Aspergilose,-,-,B44,S,-,-
B44.0,15,B44,Aspergilose pulmonar invasiva,-,-,B440,S,-,-
B44.1,15,B44,Outras aspergiloses pulmonares,-,-,B441,S,-,-
B44.2,15,B44,Aspergilose amigdaliana,-,-,B442,S,-,-
B44.7,15,B44,Aspergilose disseminada,-,-,B447,S,-,-
